Vernier Format 2
Untitled.cmbl 01/04/2022 09:28:53 .
Latest
Time	Position 1	Velocity 1	Acceleration 1	Position 2	Velocity 2	Acceleration 2
t	x 1	v 1	acc 1	x 2	v 2	acc 2
s	m	m/s	m/s²	m	m/s	m/s²

0.05	0.2519335	0.00228666666667	-0.0284774691358	0.1775025	0	0.000698703703704
0.1	0.252105	0.0008575	-0.025036882716	0.1775025	0	0.00200083333333
0.15	0.252105	-0.0008575	-0.0142281481481	0.1775025	0.000114333333333	0.00320768518519
0.2	0.2519335	-0.00104805555556	0.00349351851852	0.1775025	0.000285833333333	0.00472154320988
0.25	0.2519335	0	0.0109569444444	0.1775025	0.000952777777778	7.41049382716E-005
0.3	0.2519335	0.000952777777777	0.00164089506173	0.177674	0.000285833333333	-0.00424515432099
0.35	0.252105	0.000571666666666	-0.0140270061728	0.1775025	9.52777777778E-005	-0.000635185185185
0.4	0.252105	-0.001715	-0.00756929012345	0.177674	0.000190555555556	0.00280540123457
0.45	0.251762	-0.00104805555556	0.0138152777778	0.1775025	0.000476388888889	0.00301712962963
0.5	0.2519335	0.0008575	0.0141328703704	0.177674	0.00142916666667	-0.0133918209877
0.55	0.2519335	0.00123861111111	-0.0016938271605	0.1778455	-0.0008575	-0.0285304012346
0.6	0.252105	0.000666944444444	-0.0168853395062	0.1775025	-0.0025725	0.00328179012346
0.65	0.252105	-0.001715	-0.00883966049382	0.1775025	-0.00371583333333	0.200824382716
0.7	0.251762	-0.00104805555556	0.014450462963	0.177674	-0.0025725	0.899792746914
0.75	0.2519335	0.0008575	0.0183674382716	0.175959	0.0441136111111	2.36516496914
0.8	0.2519335	0.00152444444444	0.00682824074074	0.1751015	0.227999722222	3.81703950617
0.85	0.252105	0.00152444444444	-0.0142916666667	0.1943095	0.496587777778	3.83604212963
0.9	0.252105	0.0008575	-0.0774396604938	0.2296385	0.678663611111	2.39173688272
0.95	0.2522765	-0.00114333333333	-0.321456635802	0.266854	0.750979444444	0.429808641975
1	0.2519335	-0.0147680555556	-0.942085493827	0.308014	0.725730833333	-1.57414768519
1.05	0.2519335	-0.0656463888889	-2.01009645062	0.3459155	0.566521666667	-2.86733179012
1.1	0.2519335	-0.234955	-2.53994675926	0.366667	0.368248611111	-2.69927237654
1.15	0.229124	-0.406264444444	-1.35829058642	0.377986	0.254486944444	-1.61850478395
1.2	0.203399	-0.420270277778	0.796098765432	0.3881045	0.224283888889	-0.742372685185
1.25	0.1802465	-0.290978333333	2.28216743827	0.4007955	0.2049425	-0.337495061728
1.3	0.172529	-0.115857777778	2.24823796296	0.408513	0.192842222222	-0.0865969135802
1.35	0.173558	-0.0275352777778	1.32965432099	0.418803	0.20237	-0.0055049382716
1.4	0.1727005	-0.00295361111111	0.663239197531	0.429436	0.200083333333	-0.0726228395062
1.45	0.172872	0.0176263888889	0.384710493827	0.43904	0.194366666667	-0.126295987654
1.5	0.1744155	0.0311558333333	0.255503240741	0.44933	0.1809325	-0.0617717592593
1.55	0.1754445	0.0553563888889	-0.0468449074074	0.4563615	0.181980555556	0.115233179012
1.6	0.183162	0.0209611111111	-0.273447222222	0.4666515	0.199035277778	0.179492746914
1.65	0.1751015	0.0210563888889	-0.343793981481	0.4769415	0.2058	0.136247222222
1.7	0.186935	-0.00581194444444	-0.473160030864	0.487403	0.210278055556	0.11533904321
1.75	0.1761305	-0.0549752777778	-0.093425154321	0.4978645	0.215041944444	0.121002777778
1.8	0.176302	-0.0157208333333	0.292449845679	0.5084975	0.225808333333	0.0669061728395
1.85	0.176302	-0.00200083333333	0.259631944444	0.521017	0.226094166667	-0.0686529320988
1.9	0.176302	0.0111475	0.142493209877	0.53165	0.216185277778	-0.18266867284
1.95	0.1771595	0.0198177777778	-0.120791049383	0.542283	0.209039444444	-0.357979783951
2	0.1802465	-0.00466861111111	-0.273606018519	0.5527445	0.191317777778	-0.731786265432
2.05	0.176645	-0.0280116666667	-0.0408106481481	0.562863	0.1432025	-1.19070756173
2.1	0.1754445	-0.0127672222222	0.271118209877	0.56938	0.0539272222222	-1.27243472222
2.15	0.1751015	0.0077175	0.420069135802	0.566979	-0.0118144444444	-0.81547191358
2.2	0.175273	0.0468766666667	0.235759567901	0.565607	-0.0280116666667	-0.305418209877
2.25	0.1829905	0.0316322222222	-0.0345117283951	0.5637205	-0.0282022222222	-0.0408106481481
2.3	0.176645	0.0357291666667	-0.200771450617	0.562863	-0.0248675	0.0513970679012
2.35	0.1864205	0.0356338888889	-0.688276080247	0.5613195	-0.0226761111111	0.0966540123457
2.4	0.1860775	-0.05831	-0.676631018519	0.5602905	-0.0152444444444	0.128625
2.45	0.1761305	-0.0741261111111	0.0595486111111	0.559776	-0.00733638888889	0.113115895062
2.5	0.1751015	-0.0283927777778	0.416575617284	0.559776	-0.00323944444444	0.080562654321
2.55	0.175273	-0.00609777777778	0.297160802469	0.559433	0.000381111111111	0.0531438271605
2.6	0.1754445	-0.00114333333333	0.134235802469	0.5599475	0.00152444444444	0.0397520061728
2.65	0.17493	0.001715	0.050550154321	0.5596045	0.0025725	0.0573783950617
2.7	0.175616	0.00381111111111	-0.00645771604938	0.5599475	0.00781277777778	0.0625657407407
2.75	0.175616	0.000571666666667	-0.0413399691358	0.560462	0.0113380555556	0.0238723765432
2.8	0.175616	-0.00200083333333	-0.0401225308642	0.5613195	0.0105758333333	-0.0209081790123
2.85	0.1754445	-0.00485916666667	-0.00894552469136	0.5616625	0.00695527777778	-0.0241899691358
2.9	0.17493	-0.00352527777778	0.031600462963	0.561834	0.00647888888889	0.00449922839506
2.95	0.17493	0.000381111111111	0.0324473765432	0.562177	0.00838444444444	0.0173087962963
3	0.1751015	0.00200083333333	-0.00635185185185	0.5626915	0.0100041666667	-0.000741049382719
3.05	0.1754445	-0.001715	-0.021352808642	0.5633775	0.00828916666667	-0.0194790123457
3.1	0.1747585	-0.00276305555556	0.00930546296296	0.563549	0.0060025	-0.00415516975309
3.15	0.17493	0.000285833333333	0.0245287345679	0.5637205	0.00790805555556	0.0118832561728
3.2	0.17493	0.0012005	0.01372	0.5644065	0.00886083333333	0.000651064814819
3.25	0.1751015	0.00152444444444	0.0018049845679	0.5647495	0.00776513888889	-0.00854853395062
3.3	0.1751015	0.000762222222222	-0.00855382716049	0.5650925	0.00724111111111	-0.0113804012346
